tile,cycles
1727,279441
1728,309404
1729,368783
1730,211088
1731,110897
1732,50258
1733,59287
1734,98310
1735,107845
1736,105328
1737,48641
1738,361282
1739,94276
1740,76605
1741,253126
1742,148863
1743,18460
1744,360916
1745,18735
1746,125958
1747,44428
1748,116433
1749,296327
1750,85648
1751,82135
1752,33788
1753,99876
1754,33285
1755,157534
1756,51792
1757,513601
1758,41771
1759,60235
1760,70033
1761,30702
1762,47741
1763,86298
1764,65441
1765,102009
1766,165192
1767,85929
1768,182416
1769,265468
1770,184547
1771,68943
1772,281580
1773,75765
1774,111522
1775,66580
1776,46366
1777,74792
1778,118566
1779,46296
1780,104451
1781,64367
1782,428149
1783,40906
1784,106857
1785,30714
1786,603803
1787,104493
1788,64573
1789,53612
1790,316487
1791,147253
1792,33682
1793,269334
1794,52637
1795,24331
1796,186865
1797,58934
1798,22451
1799,68986
1800,60461
1801,72157
1802,117682
1803,207561
1804,95536
1805,87884
1806,61581
1807,77781
1808,131001
1809,19840
1810,83540
1811,67264
1812,28042
1813,36312
1814,180434
1815,47156
1816,175718
1817,71637
1818,26705
1819,75681
1820,76929
1821,85478
1822,150914
1823,76538
1824,147999
1825,77922
1826,167194
1827,69954
1828,299069
1829,160038
1830,125685
1831,525295
1832,41571
1833,31567
1834,31982
1835,23170
1836,39952
1837,50082
1838,111217
1839,97488
1840,40811
1841,157387
1842,593672
1843,179276
1844,64517
1845,74217
1846,95095
1847,301802
1848,48976
1849,352632
1850,48176
1851,45986
1852,102717
1853,129791
1854,19669
1855,397361
1856,339324
1857,35558
1858,36346
1859,125361
1860,69931
1861,42099
1862,57319
1863,126474
1864,29816
1865,41216
1866,148062
1867,80259
1868,77725
1869,189772
1870,36439
1871,74717
1872,67110
1873,21046
1874,27997
1875,66299
1876,143928
1877,35532
1878,222452
1879,117870
1880,16815
1881,107202
1882,36659
1883,67039
1884,155920
1885,47714
1886,44493
1887,29532
1888,159660
1889,101554
1890,21242
1891,85989
1892,39264
1893,66739
1894,36739
1895,27219
1896,127967
1897,144065
1898,36458
1899,84553
1900,124398
1901,590562
1902,27870
1903,44069
1904,64225
1905,45778
1906,164308
1907,45156
1908,274977
1909,108109
1910,71537
1911,33742
1912,78583
1913,238169
1914,99500
1915,106528
1916,33979
1917,83085
1918,91205
1919,141524
1920,54429
1921,219197
1922,128597
1923,407933
1924,67297
1925,68444
1926,156214
1927,30593
1928,96759
1929,53438
1930,115447
1931,45067
1932,64111
1933,27046
1934,26133
1935,45706
1936,27004
1937,36974
1938,83843
1939,234743
1940,19323
1941,28360
1942,152664
1943,64239
1944,74557
1945,36734
1946,75723
1947,35710
1948,73421
1949,29419
1950,53646
1951,49186
1952,95889
1953,92744
1954,338573
1955,299655
1956,61929
1957,45271
1958,84140
1959,157192
1960,111028
1961,16681
1962,55168
1963,73283
1964,124119
1965,197191
1966,99308
1967,55807
1968,56467
1969,93610
1970,44569
1971,32275
1972,90830
1973,51875
1974,584339
1975,22875
1976,50960
1977,43682
1978,61721
1979,41400
1980,99000
1981,50637
1982,500946
1983,66312
1984,108687
1985,47599
1986,123701
1987,126360
1988,66719
1989,56357
1990,136984
1991,56498
1992,46283
1993,37912
1994,67312
1995,65991
1996,118038
1997,34553
1998,53477
1999,71330
2000,223602
2001,44873
2002,33368
2003,35019
2004,60959
2005,138911
2006,171866
2007,310109
2008,188470
2009,119087
2010,58438
2011,49876
2012,66921
2013,135979
2014,30418
2015,103973
2016,40143
2017,188825
2018,49297
2019,103230
2020,64713
2021,57933
2022,75344
2023,45454
2024,44161
2025,185393
2026,143820
2027,37708
2028,74570
2029,374465
2030,26807
2031,278077
2032,72614
2033,39079
2034,39054
2035,31485
2036,66503
2037,64510
2038,190628
2039,33309
2040,33663
2041,58962
2042,212525
2043,120661
2044,102463
2045,48858
2046,32046
2047,75504
